number,value,params_buffer_num,params_buffer_unroll,params_ctas_per_sm,params_num_warp,params_uncached,user_attrs_build_dir,user_attrs_registers,user_attrs_seq_len,user_attrs_spill_loads_bytes,user_attrs_spill_stores_bytes,user_attrs_stack_bytes,state
0,,4,7,5,1,1,,,,,,,PRUNED
1,,2,14,7,4,0,,,,,,,PRUNED
2,,2,7,8,1,0,,,,,,,PRUNED
3,,5,11,3,1,1,,,,,,,PRUNED
4,3768128.0,3,6,3,2,1,/root/TFG-FlashAttention/build,204.0,16384.0,0.0,0.0,0.0,COMPLETE
5,,5,4,5,2,1,,,,,,,PRUNED
6,5106240.0,6,2,2,2,1,/root/TFG-FlashAttention/build,159.0,16384.0,0.0,0.0,0.0,COMPLETE
7,,3,2,8,2,1,,,,,,,PRUNED
8,3653600.0,4,15,3,4,1,/root/TFG-FlashAttention/build,162.0,16384.0,0.0,0.0,0.0,COMPLETE
9,3682432.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
10,,4,16,6,4,0,,,,,,,PRUNED
11,,6,12,4,1,1,,,,,,,PRUNED
12,3720256.0,2,5,6,2,1,/root/TFG-FlashAttention/build,158.0,16384.0,0.0,0.0,0.0,COMPLETE
13,,4,7,5,16,0,,,,,,,PRUNED
14,,2,16,8,4,0,,,,,,,PRUNED
15,10492640.0,6,2,2,1,0,/root/TFG-FlashAttention/build,159.0,16384.0,0.0,0.0,0.0,COMPLETE
16,36388352.0,2,3,6,8,1,/root/TFG-FlashAttention/build,40.0,16384.0,2656.0,2204.0,744.0,COMPLETE
17,,3,1,5,8,0,,,,,,,PRUNED
18,3798176.0,4,5,2,8,1,/root/TFG-FlashAttention/build,128.0,16384.0,152.0,76.0,72.0,COMPLETE
19,3726432.0,3,7,4,4,0,/root/TFG-FlashAttention/build,128.0,16384.0,344.0,104.0,104.0,COMPLETE
20,,5,15,3,1,1,,,,,,,PRUNED
21,,3,14,8,16,1,,,,,,,PRUNED
22,,5,12,6,16,1,,,,,,,PRUNED
23,3843936.0,3,10,3,2,0,/root/TFG-FlashAttention/build,166.0,16384.0,0.0,0.0,0.0,COMPLETE
24,,4,8,7,8,0,,,,,,,PRUNED
25,7252608.0,4,5,3,1,1,/root/TFG-FlashAttention/build,159.0,16384.0,0.0,0.0,0.0,COMPLETE
26,3650400.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
27,,6,14,8,4,0,,,,,,,PRUNED
28,,6,11,3,1,1,,,,,,,PRUNED
29,3773600.0,2,16,3,2,1,/root/TFG-FlashAttention/build,189.0,16384.0,0.0,0.0,0.0,COMPLETE
30,,2,1,8,1,1,,,,,,,PRUNED
31,,4,12,7,8,1,,,,,,,PRUNED
32,,5,7,3,16,0,,,,,,,PRUNED
33,5786176.0,3,5,2,1,1,/root/TFG-FlashAttention/build,159.0,16384.0,0.0,0.0,0.0,COMPLETE
34,20591040.0,4,16,3,8,1,/root/TFG-FlashAttention/build,80.0,16384.0,4916.0,3896.0,712.0,COMPLETE
35,,3,16,6,16,1,,,,,,,PRUNED
36,10371616.0,5,12,2,1,1,/root/TFG-FlashAttention/build,186.0,16384.0,0.0,0.0,0.0,COMPLETE
37,,5,10,6,2,0,,,,,,,PRUNED
38,,6,7,7,2,1,,,,,,,PRUNED
39,4084096.0,3,3,1,16,0,/root/TFG-FlashAttention/build,128.0,16384.0,292.0,212.0,160.0,COMPLETE
40,3874560.0,3,1,4,4,1,/root/TFG-FlashAttention/build,128.0,16384.0,48.0,40.0,32.0,COMPLETE
41,5086144.0,2,10,1,1,1,/root/TFG-FlashAttention/build,200.0,16384.0,0.0,0.0,0.0,COMPLETE
42,,6,5,8,1,1,,,,,,,PRUNED
43,3710208.0,4,7,2,4,1,/root/TFG-FlashAttention/build,164.0,16384.0,0.0,0.0,0.0,COMPLETE
44,,6,15,3,2,0,,,,,,,PRUNED
45,,5,15,3,1,1,,,,,,,PRUNED
46,3620928.0,4,4,3,4,1,/root/TFG-FlashAttention/build,158.0,16384.0,0.0,0.0,0.0,COMPLETE
47,,5,8,5,1,1,,,,,,,PRUNED
48,5988128.0,3,9,1,16,1,/root/TFG-FlashAttention/build,128.0,16384.0,1088.0,832.0,352.0,COMPLETE
49,4051040.0,4,9,3,2,0,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
50,,6,8,3,16,1,,,,,,,PRUNED
51,3785856.0,3,15,1,2,1,/root/TFG-FlashAttention/build,203.0,16384.0,0.0,0.0,0.0,COMPLETE
52,,4,7,5,4,0,,,,,,,PRUNED
53,4020960.0,4,16,1,2,0,/root/TFG-FlashAttention/build,220.0,16384.0,0.0,0.0,0.0,COMPLETE
54,3864832.0,5,6,1,8,0,/root/TFG-FlashAttention/build,161.0,16384.0,0.0,0.0,0.0,COMPLETE
55,,3,15,7,8,1,,,,,,,PRUNED
56,,4,16,5,2,0,,,,,,,PRUNED
57,,2,15,8,8,0,,,,,,,PRUNED
58,3696512.0,2,15,2,8,1,/root/TFG-FlashAttention/build,128.0,16384.0,956.0,304.0,144.0,COMPLETE
59,,3,16,6,16,0,,,,,,,PRUNED
60,3769248.0,3,6,2,2,1,/root/TFG-FlashAttention/build,204.0,16384.0,0.0,0.0,0.0,COMPLETE
61,,4,16,4,2,0,,,,,,,PRUNED
62,,5,3,3,8,0,,,,,,,PRUNED
63,4920704.0,2,12,1,16,1,/root/TFG-FlashAttention/build,128.0,16384.0,1364.0,716.0,280.0,COMPLETE
64,,5,2,7,2,1,,,,,,,PRUNED
65,,4,16,4,8,1,,,,,,,PRUNED
66,,5,11,4,1,1,,,,,,,PRUNED
67,,5,7,4,8,0,,,,,,,PRUNED
68,,5,2,4,4,1,,,,,,,PRUNED
69,,2,14,7,2,1,,,,,,,PRUNED
70,6248064.0,3,14,3,1,0,/root/TFG-FlashAttention/build,186.0,16384.0,0.0,0.0,0.0,COMPLETE
71,4068416.0,4,13,2,2,0,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
72,,5,6,7,1,0,,,,,,,PRUNED
73,,3,3,5,16,0,,,,,,,PRUNED
74,10089024.0,6,9,1,1,1,/root/TFG-FlashAttention/build,176.0,16384.0,0.0,0.0,0.0,COMPLETE
75,3767808.0,3,6,3,2,1,/root/TFG-FlashAttention/build,204.0,16384.0,0.0,0.0,0.0,COMPLETE
76,,6,13,7,16,1,,,,,,,PRUNED
77,,4,14,6,8,1,,,,,,,PRUNED
78,4151392.0,3,2,2,2,1,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
79,,3,8,5,8,1,,,,,,,PRUNED
80,3901376.0,6,13,1,8,1,/root/TFG-FlashAttention/build,184.0,16384.0,0.0,0.0,0.0,COMPLETE
81,3670208.0,2,9,3,4,1,/root/TFG-FlashAttention/build,164.0,16384.0,0.0,0.0,0.0,COMPLETE
82,,3,3,4,16,0,,,,,,,PRUNED
83,,6,12,5,8,1,,,,,,,PRUNED
84,,5,9,4,16,0,,,,,,,PRUNED
85,,2,6,8,8,0,,,,,,,PRUNED
86,,2,8,8,16,1,,,,,,,PRUNED
87,,4,12,8,2,1,,,,,,,PRUNED
88,,5,14,6,8,0,,,,,,,PRUNED
89,,6,7,4,8,0,,,,,,,PRUNED
90,,2,2,7,16,0,,,,,,,PRUNED
91,,3,6,8,2,1,,,,,,,PRUNED
92,,5,4,6,4,1,,,,,,,PRUNED
93,,3,14,8,16,1,,,,,,,PRUNED
94,3832864.0,5,14,2,4,1,/root/TFG-FlashAttention/build,162.0,16384.0,0.0,0.0,0.0,COMPLETE
95,7473920.0,4,15,2,1,1,/root/TFG-FlashAttention/build,186.0,16384.0,0.0,0.0,0.0,COMPLETE
96,7484512.0,4,15,2,1,0,/root/TFG-FlashAttention/build,186.0,16384.0,0.0,0.0,0.0,COMPLETE
97,,4,10,6,8,1,,,,,,,PRUNED
98,,6,13,8,8,0,,,,,,,PRUNED
99,3875008.0,4,11,1,8,0,/root/TFG-FlashAttention/build,160.0,16384.0,0.0,0.0,0.0,COMPLETE
100,3643456.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
101,3682464.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
102,3687168.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
103,3694080.0,2,15,2,8,1,/root/TFG-FlashAttention/build,128.0,16384.0,956.0,304.0,144.0,COMPLETE
104,3681664.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
105,3683648.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
106,3678464.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,16384.0,0.0,0.0,0.0,COMPLETE
107,3611840.0,3,7,2,4,0,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
108,,4,2,4,4,1,,,,,,,PRUNED
109,3650624.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
110,3648064.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
111,3640896.0,3,9,2,4,0,/root/TFG-FlashAttention/build,199.0,16384.0,0.0,0.0,0.0,COMPLETE
112,3603040.0,3,7,2,4,0,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
113,3607648.0,3,7,2,4,0,/root/TFG-FlashAttention/build,168.0,16384.0,0.0,0.0,0.0,COMPLETE
114,3645312.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
115,3650432.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
116,3644032.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
117,3651776.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,16384.0,0.0,0.0,0.0,COMPLETE
118,3725696.0,3,8,1,4,0,/root/TFG-FlashAttention/build,175.0,16384.0,0.0,0.0,0.0,COMPLETE
119,3797376.0,3,9,3,4,0,/root/TFG-FlashAttention/build,168.0,16384.0,128.0,72.0,72.0,COMPLETE
120,3725120.0,3,6,1,4,0,/root/TFG-FlashAttention/build,179.0,16384.0,0.0,0.0,0.0,COMPLETE
121,3642208.0,3,9,2,4,0,/root/TFG-FlashAttention/build,199.0,16384.0,0.0,0.0,0.0,COMPLETE
122,3691488.0,3,10,2,4,0,/root/TFG-FlashAttention/build,162.0,16384.0,0.0,0.0,0.0,COMPLETE
123,3729888.0,3,7,2,8,0,/root/TFG-FlashAttention/build,128.0,16384.0,344.0,104.0,104.0,COMPLETE
124,5790560.0,3,9,2,1,0,/root/TFG-FlashAttention/build,214.0,16384.0,0.0,0.0,0.0,COMPLETE
125,3666368.0,2,9,1,4,0,/root/TFG-FlashAttention/build,162.0,16384.0,0.0,0.0,0.0,COMPLETE
126,3623936.0,3,7,3,4,0,/root/TFG-FlashAttention/build,166.0,16384.0,0.0,0.0,0.0,COMPLETE
127,3639552.0,3,6,2,4,0,/root/TFG-FlashAttention/build,202.0,16384.0,0.0,0.0,0.0,COMPLETE
128,3625280.0,3,7,3,4,0,/root/TFG-FlashAttention/build,166.0,16384.0,0.0,0.0,0.0,COMPLETE
129,3782784.0,3,6,3,4,0,/root/TFG-FlashAttention/build,168.0,16384.0,40.0,40.0,40.0,COMPLETE
